car_ID,CarName,fueltype,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,citympg,highwaympg,price
1,alfa-romero giulia,gas,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,111,21,27,13495
2,alfa-romero stelvio,gas,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,111,21,27,16500
3,alfa-romero Quadrifoglio,gas,2,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,6,152,mpfi,154,19,26,16500
4,audi 100 ls,gas,4,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,4,109,mpfi,102,24,30,13950
5,audi 100ls,gas,4,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,3,136,mpfi,115,18,22,17450
6,audi fox,gas,2,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,5,136,mpfi,110,19,25,15250
7,audi 100ls,gas,4,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,5,136,mpfi,110,19,25,17710
8,audi 5000,gas,4,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,5,136,mpfi,110,19,25,18920
9,audi 4000,gas,4,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,5,131,mpfi,140,17,20,23875
10,audi 5000s (diesel),gas,2,hatchback,4wd,front,99.5,178.2,67.9,52,3053,ohc,5,131,mpfi,160,16,22,17859
11,bmw 320i,gas,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,101,23,29,16430
12,bmw 320i,gas,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,101,23,29,16925
13,bmw x1,gas,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,6,164,mpfi,121,21,28,20970
14,bmw x3,gas,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,6,164,mpfi,121,21,28,21105
15,bmw z4,gas,4,sedan,rwd,front,103.5,189,66.9,55.7,3055,ohc,6,164,mpfi,121,20,25,24565
16,bmw x4,gas,4,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,6,209,mpfi,182,16,22,30760
17,bmw x5,gas,2,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,6,209,mpfi,182,16,22,41315
18,bmw x3,gas,4,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,6,209,mpfi,182,15,20,36880
19,chevrolet impala,gas,2,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,3,61,2bbl,48,47,53,5151
20,chevrolet monte carlo,gas,2,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,4,90,2bbl,70,38,43,6295
21,chevrolet vega 2300,gas,4,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,4,90,2bbl,70,38,43,6575
22,dodge rampage,gas,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,68,37,41,5572
23,dodge challenger se,gas,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,68,31,38,6377
24,dodge d200,gas,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,mpfi,102,24,30,7957
25,dodge monaco (sw),gas,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,68,31,38,6229
26,dodge colt hardtop,gas,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,68,31,38,6692
27,dodge colt (sw),gas,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,68,31,38,7609
28,dodge coronet custom,gas,2,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,4,98,mpfi,102,24,30,8558
29,dodge dart custom,gas,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,88,24,30,8921
30,dodge coronet custom (sw),gas,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,4,156,mfi,145,19,24,12964
31,honda civic,gas,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,4,92,1bbl,58,49,54,6479
32,honda civic cvcc,gas,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,4,92,1bbl,76,31,38,6855
33,honda civic,gas,2,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,4,79,1bbl,60,38,42,5399
34,honda accord cvcc,gas,2,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,4,92,1bbl,76,30,34,6529
35,honda civic cvcc,gas,2,hatchback,fwd,front,93.7,150,64,52.6,1956,ohc,4,92,1bbl,76,30,34,7129
36,honda accord lx,gas,4,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,4,92,1bbl,76,30,34,7295
37,honda civic 1500 gl,gas,4,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,4,92,1bbl,76,30,34,7295
38,honda accord,gas,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,4,110,1bbl,86,27,33,7895
39,honda civic 1300,gas,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,4,110,1bbl,86,27,33,9095
40,honda prelude,gas,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,4,110,1bbl,86,27,33,8845
41,honda accord,gas,4,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,4,110,1bbl,86,27,33,10295
42,honda civic,gas,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,4,110,mpfi,101,24,28,12945
43,honda civic (auto),gas,2,sedan,fwd,front,96.5,169.1,66,51,2293,ohc,4,110,2bbl,100,25,31,10345
44,isuzu MU-X,gas,4,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,4,111,2bbl,78,24,29,6785
45,isuzu D-Max ,gas,2,sedan,fwd,front,94.5,155.9,63.6,52,1874,ohc,4,90,2bbl,70,38,43,8916
46,isuzu D-Max V-Cross,gas,4,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,4,90,2bbl,70,38,43,8916
47,isuzu D-Max ,gas,2,hatchback,rwd,front,96,172.6,65.2,51.4,2734,ohc,4,119,spfi,90,24,29,11048
48,jaguar xj,gas,4,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,6,258,mpfi,176,15,19,32250
49,jaguar xf,gas,4,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,6,258,mpfi,176,15,19,35550
50,jaguar xk,gas,2,sedan,rwd,front,102,191.7,70.6,47.8,3950,ohcv,12,326,mpfi,262,13,17,36000
51,maxda rx3,gas,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,4,91,2bbl,68,30,31,5195
52,maxda glc deluxe,gas,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,4,91,2bbl,68,31,38,6095
53,mazda rx2 coupe,gas,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,4,91,2bbl,68,31,38,6795
54,mazda rx-4,gas,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,4,91,2bbl,68,31,38,6695
55,mazda glc deluxe,gas,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,4,91,2bbl,68,31,38,7395
56,mazda 626,gas,2,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,2,70,4bbl,101,17,23,10945
57,mazda glc,gas,2,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,2,70,4bbl,101,17,23,11845
58,mazda rx-7 gs,gas,2,hatchback,rwd,front,95.3,169,65.7,49.6,2385,rotor,2,70,4bbl,101,17,23,13645
59,mazda glc 4,gas,2,hatchback,rwd,front,95.3,169,65.7,49.6,2500,rotor,2,80,mpfi,135,16,23,15645
60,mazda 626,gas,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,84,26,32,8845
61,mazda glc custom l,gas,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,84,26,32,8495
62,mazda glc custom,gas,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,84,26,32,10595
63,mazda rx-4,gas,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,84,26,32,10245
64,mazda glc deluxe,diesel,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,4,122,idi,64,36,42,10795
65,mazda 626,gas,4,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,4,122,2bbl,84,26,32,11245
66,mazda glc,gas,4,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,4,140,mpfi,120,19,27,18280
67,mazda rx-7 gs,diesel,4,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,4,134,idi,72,31,39,18344
68,buick electra 225 custom,diesel,4,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,5,183,idi,123,22,25,25552
69,buick century luxus (sw),diesel,4,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,5,183,idi,123,22,25,28248
70,buick century,diesel,2,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,5,183,idi,123,22,25,28176
71,buick skyhawk,diesel,4,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,5,183,idi,123,22,25,31600
72,buick opel isuzu deluxe,gas,4,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,8,234,mpfi,155,16,18,34184
73,buick skylark,gas,2,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,8,234,mpfi,155,16,18,35056
74,buick century special,gas,4,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,8,308,mpfi,184,14,16,40960
75,buick regal sport coupe (turbo),gas,2,hardtop,rwd,front,112,199.2,72,55.4,3715,ohcv,8,304,mpfi,184,14,16,45400
76,mercury cougar,gas,2,hatchback,rwd,front,102.7,178.4,68,54.8,2910,ohc,4,140,mpfi,175,19,24,16503
77,mitsubishi mirage,gas,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,4,92,2bbl,68,37,41,5389
78,mitsubishi lancer,gas,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,4,92,2bbl,68,31,38,6189
79,mitsubishi outlander,gas,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,4,92,2bbl,68,31,38,6669
80,mitsubishi g4,gas,2,hatchback,fwd,front,93,157.3,63.8,50.8,2145,ohc,4,98,spdi,102,24,30,7689
81,mitsubishi mirage g4,gas,2,hatchback,fwd,front,96.3,173,65.4,49.4,2370,ohc,4,110,spdi,116,23,30,9959
82,mitsubishi g4,gas,2,hatchback,fwd,front,96.3,173,65.4,49.4,2328,ohc,4,122,2bbl,88,25,32,8499
83,mitsubishi outlander,gas,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,4,156,spdi,145,19,24,12629
84,mitsubishi g4,gas,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,4,156,spdi,145,19,24,14869
85,mitsubishi mirage g4,gas,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,4,156,spdi,145,19,24,14489
86,mitsubishi montero,gas,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,4,122,2bbl,88,25,32,6989
87,mitsubishi pajero,gas,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,4,122,2bbl,88,25,32,8189
88,mitsubishi outlander,gas,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,116,23,30,9279
89,mitsubishi mirage g4,gas,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,116,23,30,9279
90,Nissan versa,gas,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,4,97,2bbl,69,31,37,5499
91,nissan gt-r,diesel,2,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,4,103,idi,55,45,50,7099
92,nissan rogue,gas,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,4,97,2bbl,69,31,37,6649
93,nissan latio,gas,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,4,97,2bbl,69,31,37,6849
94,nissan titan,gas,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,4,97,2bbl,69,31,37,7349
95,nissan leaf,gas,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,4,97,2bbl,69,31,37,7299
96,nissan juke,gas,2,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,4,97,2bbl,69,31,37,7799
97,nissan latio,gas,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,4,97,2bbl,69,31,37,7499
98,nissan note,gas,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,4,97,2bbl,69,31,37,7999
99,nissan clipper,gas,2,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,4,97,2bbl,69,31,37,8249
100,nissan rogue,gas,4,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,4,120,2bbl,97,27,34,8949
101,nissan nv200,gas,4,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,4,120,2bbl,97,27,34,9549
102,nissan dayz,gas,4,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,6,181,mpfi,152,17,22,13499
103,nissan fuga,gas,4,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,6,181,mpfi,152,17,22,14399
104,nissan otti,gas,4,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,6,181,mpfi,152,19,25,13499
105,nissan teana,gas,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,6,181,mpfi,160,19,25,17199
106,nissan kicks,gas,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,6,181,mpfi,200,17,23,19699
107,nissan clipper,gas,2,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,6,181,mpfi,160,19,25,18399
108,peugeot 504,gas,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,4,120,mpfi,97,19,24,11900
109,peugeot 304,diesel,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,4,152,idi,95,28,33,13200
110,peugeot 504 (sw),gas,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,4,120,mpfi,97,19,24,12440
111,peugeot 504,diesel,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,4,152,idi,95,25,25,13860
112,peugeot 504,gas,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,95,19,24,15580
113,peugeot 604sl,diesel,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,95,28,33,16900
114,peugeot 504,gas,4,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,4,120,mpfi,95,19,24,16695
115,peugeot 505s turbo diesel,diesel,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,4,152,idi,95,25,25,17075
116,peugeot 504,gas,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,97,19,24,16630
117,peugeot 504,diesel,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,95,28,33,17950
118,peugeot 604sl,gas,4,sedan,rwd,front,108,186.7,68.3,56,3130,l,4,134,mpfi,142,18,24,18150
119,plymouth fury iii,gas,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,4,90,2bbl,68,37,41,5572
120,plymouth cricket,gas,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,spdi,102,24,30,7957
121,plymouth fury iii,gas,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,68,31,38,6229
122,plymouth satellite custom (sw),gas,4,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,4,90,2bbl,68,31,38,6692
123,plymouth fury gran sedan,gas,4,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,4,98,2bbl,68,31,38,7609
124,plymouth valiant,gas,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,88,24,30,8921
125,plymouth duster,gas,2,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,4,156,spdi,145,19,24,12764
126,porsche macan,gas,2,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,4,151,mpfi,143,19,27,22018
127,porcshce panamera,gas,2,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,6,194,mpfi,207,17,25,32528
128,porsche cayenne,gas,2,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,6,194,mpfi,207,17,25,34028
129,porsche boxter,gas,2,convertible,rwd,rear,89.5,168.9,65,51.6,2800,ohcf,6,194,mpfi,207,17,25,37028
130,porsche cayenne,gas,2,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,8,203,mpfi,288,17,28,31400
131,renault 12tl,gas,4,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,4,132,mpfi,90,23,31,9295
132,renault 5 gtl,gas,2,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,4,132,mpfi,90,23,31,9895
133,saab 99e,gas,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,4,121,mpfi,110,21,28,11850
134,saab 99le,gas,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,4,121,mpfi,110,21,28,12170
135,saab 99le,gas,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,4,121,mpfi,110,21,28,15040
136,saab 99gle,gas,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,4,121,mpfi,110,21,28,15510
137,saab 99gle,gas,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,4,121,mpfi,160,19,26,18150
138,saab 99e,gas,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,4,121,mpfi,160,19,26,18620
139,subaru,gas,2,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,4,97,2bbl,69,31,36,5118
140,subaru dl,gas,2,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,4,108,2bbl,73,26,31,7053
141,subaru dl,gas,2,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,4,108,2bbl,73,26,31,7603
142,subaru,gas,4,sedan,fwd,front,97.2,172,65.4,52.5,2145,ohcf,4,108,2bbl,82,32,37,7126
143,subaru brz,gas,4,sedan,fwd,front,97.2,172,65.4,52.5,2190,ohcf,4,108,2bbl,82,28,33,7775
144,subaru baja,gas,4,sedan,fwd,front,97.2,172,65.4,52.5,2340,ohcf,4,108,mpfi,94,26,32,9960
145,subaru r1,gas,4,sedan,4wd,front,97,172,65.4,54.3,2385,ohcf,4,108,2bbl,82,24,25,9233
146,subaru r2,gas,4,sedan,4wd,front,97,172,65.4,54.3,2510,ohcf,4,108,mpfi,111,24,29,11259
147,subaru trezia,gas,4,wagon,fwd,front,97,173.5,65.4,53,2290,ohcf,4,108,2bbl,82,28,32,7463
148,subaru tribeca,gas,4,wagon,fwd,front,97,173.5,65.4,53,2455,ohcf,4,108,mpfi,94,25,31,10198
149,subaru dl,gas,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,4,108,2bbl,82,23,29,8013
150,subaru dl,gas,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,4,108,mpfi,111,23,23,11694
151,toyota corona mark ii,gas,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,4,92,2bbl,62,35,39,5348
152,toyota corona,gas,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,4,92,2bbl,62,31,38,6338
153,toyota corolla 1200,gas,4,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,4,92,2bbl,62,31,38,6488
154,toyota corona hardtop,gas,4,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,4,92,2bbl,62,31,37,6918
155,toyota corolla 1600 (sw),gas,4,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,4,92,2bbl,62,27,32,7898
156,toyota carina,gas,4,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,4,92,2bbl,62,27,32,8778
157,toyota mark ii,gas,4,sedan,fwd,front,95.7,166.3,64.4,53,2081,ohc,4,98,2bbl,70,30,37,6938
158,toyota corolla 1200,gas,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,4,98,2bbl,70,30,37,7198
159,toyota corona,diesel,4,sedan,fwd,front,95.7,166.3,64.4,53,2275,ohc,4,110,idi,56,34,36,7898
160,toyota corolla,diesel,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,4,110,idi,56,38,47,7788
161,toyota corona,gas,4,sedan,fwd,front,95.7,166.3,64.4,53,2094,ohc,4,98,2bbl,70,38,47,7738
162,toyota corolla,gas,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,4,98,2bbl,70,28,34,8358
163,toyota mark ii,gas,4,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,4,98,2bbl,70,28,34,9258
164,toyota corolla liftback,gas,2,sedan,rwd,front,94.5,168.7,64,52.6,2169,ohc,4,98,2bbl,70,29,34,8058
165,toyota corona,gas,2,hatchback,rwd,front,94.5,168.7,64,52.6,2204,ohc,4,98,2bbl,70,29,34,8238
166,toyota celica gt liftback,gas,2,sedan,rwd,front,94.5,168.7,64,52.6,2265,dohc,4,98,mpfi,112,26,29,9298
167,toyota corolla tercel,gas,2,hatchback,rwd,front,94.5,168.7,64,52.6,2300,dohc,4,98,mpfi,112,26,29,9538
168,toyota corona liftback,gas,2,hardtop,rwd,front,98.4,176.2,65.6,52,2540,ohc,4,146,mpfi,116,24,30,8449
169,toyota corolla,gas,2,hardtop,rwd,front,98.4,176.2,65.6,52,2536,ohc,4,146,mpfi,116,24,30,9639
170,toyota starlet,gas,2,hatchback,rwd,front,98.4,176.2,65.6,52,2551,ohc,4,146,mpfi,116,24,30,9989
171,toyota tercel,gas,2,hardtop,rwd,front,98.4,176.2,65.6,52,2679,ohc,4,146,mpfi,116,24,30,11199
172,toyota corolla,gas,2,hatchback,rwd,front,98.4,176.2,65.6,52,2714,ohc,4,146,mpfi,116,24,30,11549
173,toyota cressida,gas,2,convertible,rwd,front,98.4,176.2,65.6,53,2975,ohc,4,146,mpfi,116,24,30,17669
174,toyota corolla,gas,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,4,122,mpfi,92,29,34,8948
175,toyota celica gt,diesel,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,4,110,idi,73,30,33,10698
176,toyota corona,gas,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,4,122,mpfi,92,27,32,9988
177,toyota corolla,gas,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,4,122,mpfi,92,27,32,10898
178,toyota mark ii,gas,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,4,122,mpfi,92,27,32,11248
179,toyota corolla liftback,gas,2,hatchback,rwd,front,102.9,183.5,67.7,52,2976,dohc,6,171,mpfi,161,20,24,16558
180,toyota corona,gas,2,hatchback,rwd,front,102.9,183.5,67.7,52,3016,dohc,6,171,mpfi,161,19,24,15998
181,toyota starlet,gas,4,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,6,171,mpfi,156,20,24,15690
182,toyouta tercel,gas,4,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,6,161,mpfi,156,19,24,15750
183,vokswagen rabbit,diesel,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,4,97,idi,52,37,46,7775
184,volkswagen 1131 deluxe sedan,gas,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,4,109,mpfi,85,27,34,7975
185,volkswagen model 111,diesel,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,4,97,idi,52,37,46,7995
186,volkswagen type 3,gas,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,4,109,mpfi,85,27,34,8195
187,volkswagen 411 (sw),gas,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,4,109,mpfi,85,27,34,8495
188,volkswagen super beetle,diesel,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,4,97,idi,68,37,42,9495
189,volkswagen dasher,gas,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,4,109,mpfi,100,26,32,9995
190,vw dasher,gas,2,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,ohc,4,109,mpfi,90,24,29,11595
191,vw rabbit,gas,2,hatchback,fwd,front,94.5,165.7,64,51.4,2221,ohc,4,109,mpfi,90,24,29,9980
192,volkswagen rabbit,gas,4,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,5,136,mpfi,110,19,24,13295
193,volkswagen rabbit custom,diesel,4,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,4,97,idi,68,33,38,13845
194,volkswagen dasher,gas,4,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,4,109,mpfi,88,25,31,12290
195,volvo 145e (sw),gas,4,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,4,141,mpfi,114,23,28,12940
196,volvo 144ea,gas,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,4,141,mpfi,114,23,28,13415
197,volvo 244dl,gas,4,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,4,141,mpfi,114,24,28,15985
198,volvo 245,gas,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,4,141,mpfi,114,24,28,16515
199,volvo 264gl,gas,4,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,4,130,mpfi,162,17,22,18420
200,volvo diesel,gas,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,4,130,mpfi,162,17,22,18950
201,volvo 145e (sw),gas,4,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,4,141,mpfi,114,23,28,16845
202,volvo 144ea,gas,4,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,4,141,mpfi,160,19,25,19045
203,volvo 244dl,gas,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,6,173,mpfi,134,18,23,21485
204,volvo 246,diesel,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,6,145,idi,106,26,27,22470
205,volvo 264gl,gas,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,4,141,mpfi,114,19,25,22625
